Contract Count,ID,LGA,Population,SEIFA,TargetedGroup,Service,Agency,Indigenous,Year
3,31041-01,Great Lakes,36499,17,360 Daily living assistance (multiple needs),A01.2 Personal support,FACS,Non Indigenous,"""2014"""
3,31041-01,Greater Taree,48941,8,360 Daily living assistance (multiple needs),A01.2 Personal support,FACS,Non Indigenous,"""2014"""
3,31041-01,Kempsey,29643,3,360 Daily living assistance (multiple needs),A01.2 Personal support,FACS,Non Indigenous,"""2014"""
3,31041-01,Nambucca,19655,6,360 Daily living assistance (multiple needs),A01.2 Personal support,FACS,Non Indigenous,"""2014"""
3,31041-01,Port Macquarie-Hastings,77481,49,360 Daily living assistance (multiple needs),A01.2 Personal support,FACS,Non Indigenous,"""2014"""
3,31306-01,Blue Mountains,79688,82,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2014"""
3,31306-01,Hawkesbury,65527,77,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2014"""
3,31306-01,Lithgow,21249,15,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2014"""
3,31306-01,Penrith,194134,71,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2014"""
3,31430-01,Bellingen,13032,36,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2014"""
3,31430-01,Coffs Harbour,72382,46,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2014"""
3,31430-01,Gloucester,5064,31,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2014"""
3,31430-01,Great Lakes,36499,17,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2014"""
3,31430-01,Greater Taree,48941,8,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2014"""
3,31430-01,Kempsey,29643,3,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2014"""
3,31430-01,Nambucca,19655,6,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2014"""
3,31430-01,Port Macquarie-Hastings,77481,49,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2014"""
3,LEAS-23941,Ashfield,44498,80,110 All (general population),A10.3 Rent assistance (private rental),FACS,Non Indigenous,"""2014"""
3,LEAS-26962,Greater Hume,10258,63,110 All (general population),A10.3 Rent assistance (private rental),FACS,Non Indigenous,"""2014"""
3,LEAS-29436,Corowa,11455,38,110 All (general population),A10.1 Provision of social housing ,FACS,Non Indigenous,"""2014"""
3,LEAS-30794,Clarence Valley,51003,9,110 All (general population),A10.2 Affordable Housing ,FACS,Non Indigenous,"""2014"""
3,LEAS-33093,Urana,1147,20,110 All (general population),A10.1 Provision of social housing ,FACS,Non Indigenous,"""2014"""
3,LEAS-36593,Uralla,6408,62,110 All (general population),A10.1 Provision of social housing ,FACS,Non Indigenous,"""2014"""
3,LEAS-36833,Gwydir,5080,25,110 All (general population),A10.1 Provision of social housing ,FACS,Non Indigenous,"""2014"""
3,LEAS-72852,Ku-Ring-Gai,120978,100,110 All (general population),A10.1 Provision of social housing ,FACS,Non Indigenous,"""2014"""
3,PROPAG-78733,Boorowa,2602,49,110 All (general population),A10.1 Provision of social housing ,FACS,Non Indigenous,"""2014"""
3,G1415CC11,Gosford,171992,75,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415CC11,Wyong,159015,37,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN10,Inverell,16846,12,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415HN16,Muswellbrook,17045,51,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415HN16,Narrabri,13764,36,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415HN16,Port Stephens,69728,58,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415HN16,Singleton,23884,76,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415HN16,Upper Hunter,14658,56,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415HN2,Cessnock,54979,19,340 Preventative Health recipients,A09.2 Preventative Health Service,Health,Non Indigenous,"""2014"""
3,G1415HN25,Armidale Dumaresq,25327,67,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Cessnock,54979,19,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Dungog,9108,63,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Glen Innes Severn,8966,13,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Gloucester,5064,31,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Great Lakes,36499,17,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Greater Taree,48941,8,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Gunnedah,12826,28,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Guyra,4619,18,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Gwydir,5080,25,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Inverell,16846,12,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Lake Macquarie,202676,69,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Liverpool Plains,7819,13,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Maitland,75170,70,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Moree Plains,14092,15,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Muswellbrook,17045,51,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Narrabri,13764,36,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Newcastle,160021,72,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Port Stephens,69728,58,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Singleton,23884,76,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Tamworth,60495,45,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Tenterfield,6980,10,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Upper Hunter,14658,56,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Uralla,6408,62,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN25,Walcha,3098,55,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Armidale Dumaresq,25327,67,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Cessnock,54979,19,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Dungog,9108,63,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Glen Innes Severn,8966,13,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Gloucester,5064,31,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Great Lakes,36499,17,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Greater Taree,48941,8,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Gunnedah,12826,28,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Guyra,4619,18,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Gwydir,5080,25,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Inverell,16846,12,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Lake Macquarie,202676,69,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Liverpool Plains,7819,13,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Maitland,75170,70,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Moree Plains,14092,15,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Muswellbrook,17045,51,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Narrabri,13764,36,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Newcastle,160021,72,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Port Stephens,69728,58,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Singleton,23884,76,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Tamworth,60495,45,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Tenterfield,6980,10,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Upper Hunter,14658,56,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Uralla,6408,62,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415HN38,Walcha,3098,55,398 Problematic alcohol/drug use,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,C1415IS5,Kiama,21314,84,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,C1415IS5,Shellharbour,68762,53,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,C1415IS5,Shoalhaven,99016,41,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,C1415IS5,Wollongong,206794,65,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415IS14,Kiama,21314,84,349 Other specified health needs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415IS14,Shellharbour,68762,53,349 Other specified health needs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415IS14,Shoalhaven,99016,41,349 Other specified health needs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415IS14,Wollongong,206794,65,349 Other specified health needs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415IS2,Kiama,21314,84,340 Preventative Health recipients,A09.2 Preventative Health Service,Health,Non Indigenous,"""2014"""
3,G1415IS2,Shellharbour,68762,53,340 Preventative Health recipients,A09.2 Preventative Health Service,Health,Non Indigenous,"""2014"""
3,G1415IS2,Shoalhaven,99016,41,340 Preventative Health recipients,A09.2 Preventative Health Service,Health,Non Indigenous,"""2014"""
3,G1415IS2,Wollongong,206794,65,340 Preventative Health recipients,A09.2 Preventative Health Service,Health,Non Indigenous,"""2014"""
3,G1415AH10,Lachlan,6775,26,392 Victims of domestic violence,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH18,Kiama,21314,84,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH18,Shellharbour,68762,53,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH18,Shoalhaven,99016,41,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH18,Wollongong,206794,65,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Armidale Dumaresq,25327,67,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Cessnock,54979,19,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Dungog,9108,63,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Glen Innes Severn,8966,13,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Gloucester,5064,31,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Great Lakes,36499,17,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Greater Taree,48941,8,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Gunnedah,12826,28,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Guyra,4619,18,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Gwydir,5080,25,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Inverell,16846,12,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Lake Macquarie,202676,69,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Liverpool Plains,7819,13,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Maitland,75170,70,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Moree Plains,14092,15,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Muswellbrook,17045,51,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Narrabri,13764,36,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Newcastle,160021,72,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Port Stephens,69728,58,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Singleton,23884,76,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Tamworth,60495,45,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Tenterfield,6980,10,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Upper Hunter,14658,56,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Uralla,6408,62,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415AH30,Walcha,3098,55,330 Primary health care needs,A09.3 Health Support,Health,Indigenous,"""2014"""
3,G1415PH26,Lachlan,6775,26,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
3,G1415MB4,Lachlan,6775,26,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415NB11,Blue Mountains,79688,82,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NB11,Hawkesbury,65527,77,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NB11,Lithgow,21249,15,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NB11,Penrith,194134,71,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NN15,Ballina,41644,65,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415NN15,Byron,32119,64,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415NN15,Clarence Valley,51003,9,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415NN15,Kyogle,9531,8,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415NN15,Lismore,44629,43,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415NN15,Richmond Valley,22983,5,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415NN15,Tweed,91210,45,333 Rehabilitation needs,A09.3 Health Support,Health,Non Indigenous,"""2014"""
3,G1415NN16,Ballina,41644,65,120 Rural/remote communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
3,G1415NN16,Byron,32119,64,120 Rural/remote communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
3,G1415NN16,Clarence Valley,51003,9,120 Rural/remote communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
3,G1415NN16,Kyogle,9531,8,120 Rural/remote communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
3,G1415NN16,Lismore,44629,43,120 Rural/remote communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
3,G1415NN16,Richmond Valley,22983,5,120 Rural/remote communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
3,G1415NN16,Tweed,91210,45,120 Rural/remote communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
3,G1415NS12,Hornsby,168614,93,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS12,Hunters Hill,14689,95,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS12,Ku-Ring-Gai,120978,100,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS12,Lane Cove,34807,99,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS12,Manly,44786,96,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS12,Mosman,30276,99,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS12,North Sydney,71025,97,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS12,Pittwater,63338,95,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS12,Ryde,114598,89,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS12,Warringah,155289,91,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS12,Willoughby,74166,94,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS2,Hornsby,168614,93,398 Problematic alcohol/drug use,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS2,Hunters Hill,14689,95,398 Problematic alcohol/drug use,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS2,Ku-Ring-Gai,120978,100,398 Problematic alcohol/drug use,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS2,Lane Cove,34807,99,398 Problematic alcohol/drug use,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS2,Manly,44786,96,398 Problematic alcohol/drug use,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS2,Mosman,30276,99,398 Problematic alcohol/drug use,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS2,North Sydney,71025,97,398 Problematic alcohol/drug use,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS2,Pittwater,63338,95,398 Problematic alcohol/drug use,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS2,Ryde,114598,89,398 Problematic alcohol/drug use,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS2,Warringah,155289,91,398 Problematic alcohol/drug use,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415NS2,Willoughby,74166,94,398 Problematic alcohol/drug use,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,C1415SE3,Sydney City,198331,85,340 Preventative Health recipients,A09.2 Preventative Health Service,Health,Non Indigenous,"""2014"""
3,G1415SE17,Botany Bay,44742,69,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SE17,Hurstville,85886,78,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SE17,Kogarah,61030,86,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SE17,Randwick,143776,88,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SE17,Rockdale,108072,75,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SE17,Sutherland,225070,89,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SE17,Sydney City,198331,85,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SE17,Unincorporated NSW,1122,76,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SE17,Waverley,71769,92,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SE17,Woollahra,58619,98,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SE38,Botany Bay,44742,69,390 Homeless persons,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SE38,Hurstville,85886,78,390 Homeless persons,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SE38,Kogarah,61030,86,390 Homeless persons,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SE38,Randwick,143776,88,390 Homeless persons,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SE38,Rockdale,108072,75,390 Homeless persons,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SE38,Sutherland,225070,89,390 Homeless persons,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SE38,Sydney City,198331,85,390 Homeless persons,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SE38,Unincorporated NSW,1122,76,390 Homeless persons,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SE38,Waverley,71769,92,390 Homeless persons,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SE38,Woollahra,58619,98,390 Homeless persons,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SW13,Fairfield,203109,4,349 Other specified health needs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SW13,Liverpool,199928,58,349 Other specified health needs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415SW13,Wingecarribee,47584,78,349 Other specified health needs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Bathurst,41682,68,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Blayney,7409,60,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Bogan,3076,26,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Bourke,2973,25,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Brewarrina,1931,1,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Cabonne,13776,73,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Cobar,5111,39,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Coonamble,4292,4,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Cowra,12574,16,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Dubbo,41573,54,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Gilgandra,4440,11,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Mid-Western,24017,47,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Narromine,6854,19,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Oberon,5327,52,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Orange,41431,59,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Walgett,6840,2,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Warren,2921,32,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Warrumbungle,9786,10,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Weddin,3709,34,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
3,G1415WN10,Wellington,9054,7,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
2,10480~2014~2651,Wagga Wagga,62799,71,122 Youth,A02.10 Education,Education,Non Indigenous,"""2014"""
2,11022~2014~2807,Cowra,12574,16,122 Youth,A02.10 Education,Education,Non Indigenous,"""2014"""
2,15987~2014~2473,Richmond Valley,22983,5,122 Youth,A02.10 Education,Education,Non Indigenous,"""2014"""
2,90089~2732,Wakool,3990,54,122 Youth,A02.1 Child care and preschool,Education,Non Indigenous,"""2014"""
2,90119~2140,Strathfield,39481,84,122 Youth,A02.1 Child care and preschool,Education,Non Indigenous,"""2014"""
2,90130~2653,Tumbarumba,3578,39,122 Youth,A02.1 Child care and preschool,Education,Non Indigenous,"""2014"""
2,90182~2573,Wollondilly,47084,81,122 Youth,A02.1 Child care and preschool,Education,Non Indigenous,"""2014"""
2,90222~2840,Bourke,2973,25,122 Youth,A02.1 Child care and preschool,Education,Non Indigenous,"""2014"""
2,90238~2386,Narrabri,13764,36,122 Youth,A02.1 Child care and preschool,Education,Non Indigenous,"""2014"""
2,90306~2372,Tenterfield,6980,10,122 Youth,A02.1 Child care and preschool,Education,Non Indigenous,"""2014"""
2,90317~2833,Moree Plains,14092,15,122 Youth,A02.1 Child care and preschool,Education,Non Indigenous,"""2014"""
